artist	track	wks	t10	pk_rank	pk_streams	total_streams
VSOUL	Buồn Hay Vui	38	11	3	1292749	18527587
RPT MCK	Thôi Em Đừng Đi	79	1	8	394385	18516223
The Masked Singer	Rồi Em Sẽ Gặp Một Chàng Trai Khác	62	0	11	529688	18482647
HIEUTHUHAI	Bật Nhạc Lên	219	0	59	220297	18430466
"ANH TRAI ""SAY HI"""	HÀO QUANG	32	4	6	739010	18412363
BTS	Boy With Luv	202	27	1	1068729	18187934
tlinh	PHÓNG ZÌN ZÌN	22	8	4	1229286	18040649
Andiez	Chờ Đợi Có Đáng Sợ	139	0	80	200333	17986441
Wren Evans	Tò Te Tí	50	9	3	1216757	17568429
Ngọt	Cho Tôi Lang Thang	220	0	35	215663	17496081
Sơn Tùng M-TP	CÓ CHẮC YÊU LÀ ĐÂY	170	15	1	406562	17435578
Kha	Hư không	58	0	22	449692	17248382
52Hz	ĐỢI (Prod. RIO)	59	0	13	565059	17205857
buitruonglinh	Em Không Khóc	121	0	62	230886	17155198
V	FRI(END)S	41	11	1	1729965	17024167
SUNI	có hẹn với thanh xuân	115	0	27	227149	16996258
Kai Đinh	Trái đất ôm Mặt trời	60	4	8	865973	16849603
Chillies	Mascara	179	28	3	157975	16689255
Wren Evans	Phóng Đổ Tim Em	54	2	9	843856	16616182
Đức Phúc	Ngày Đầu Tiên	111	12	2	430926	16593558
SZA	Kill Bill	99	7	6	300451	16337774
Andree Right Hand	Em iu	90	0	18	269824	16290707
Coldplay	My Universe	84	34	1	797211	16283821
"ANH TRAI ""SAY HI"""	TRÀN BỘ NHỚ	24	6	5	1032397	16138912
"ANH TRAI ""SAY HI"""	KIM PHÚT, KIM GIỜ	26	6	5	923227	16128397
Rapital	XTC (Xích Thêm Chút) - Remix	152	0	87	194027	16073998
AMEE	MỘNG YU	29	7	3	1409741	15946886
MANBO	Hẹn Gặp Em Dưới Ánh Trăng	49	0	20	617169	15651049
PhucXp	Như Anh Đã Thấy Em	101	0	33	210065	15581231
Andiez	Suýt Nữa Thì...	99	0	74	261068	15498836
W/N	Crush 2	127	0	51	287363	15439425
GREY D	lời tạm biệt chưa nói	110	0	22	204021	15324789
Obito	Đánh Đổi (ft. RPT MCK)	39	2	7	634920	15243260
14 Casper	một đời	47	0	28	462820	15019269
Rhymastic	Nến Và Hoa	223	7	2	183005	14974127
W/N	3107 4	89	0	24	232435	14867287
Obito	Hà Nội (ft. VSTRA)	39	1	10	524339	14774525
Văn Mai Hương	Một Ngàn Nỗi Đau	104	1	7	290578	14549305
"ANH TRAI ""SAY HI"""	NGÁO NGƠ	29	4	6	794218	14518582
Lou Hoàng	Ngày Đẹp Trời Để Nói Chia Tay	36	5	4	1058785	14512957
TaynguyenSound	Ghé Qua	150	0	64	245075	14500249
Kai Đinh	để tôi ôm em bằng giai điệu này	84	0	18	283242	14388792
MONO	Em Xinh	54	2	10	769703	14243938
Tăng Duy Tân	Bật Tình Yêu Lên	76	2	4	490522	14187288
MONO	Waiting For You	59	17	1	626623	14084586
Jung Kook	Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]	40	19	1	843690	13951809
Phương Ly	ThichThich	86	1	9	213100	13721785
buitruonglinh	Yêu Người Có Ước Mơ	95	0	13	252786	13365506
AMEE	từ thích thích thành thương thương	130	12	6	201569	13344986
Đen	Nấu ăn cho em	69	1	8	473231	13190186
"ANH TRAI ""SAY HI"""	SAO HẠNG A	23	3	7	944950	13118003
Pink Sweat$	At My Worst	126	7	7	199819	13067138
Da LAB	Bầu Trời Mới	20	4	8	959841	13040647
Thắng	Xin Lỗi	70	2	5	641803	12997214
"ANH TRAI ""SAY HI"""	REGRET	29	4	5	818219	12927378
ROSÉ	Gone	131	5	2	468524	12811427
The Kid LAROI	Stay	104	22	1	311564	12737431
Ronboogz	Nói Dối	68	0	79	259251	12673927
Dangrangto	NGỰA Ô	20	1	9	748266	12550309
Vũ.	Anh Nhớ Ra	84	0	19	211850	12488035
Agust D	Haegeum	44	7	1	1423909	12349494
V	Winter Ahead	12	10	3	1656843	12159084
