track_name	album_name	artist_name	genres	release_date	duration_ms	popularity	explicit	is_playable	wks	t10	pk_rank	pk_streams	total_streams
Attention	NewJeans 1st EP 'New Jeans'	NewJeans	['k-pop']	2022-08-01	180066.0	71.0	False	True	29	0	13	194479	3141528
Mang Tiền Về Cho Mẹ	Mang Tiền Về Cho Mẹ	Đen	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2022-01-04	405360.0	47.0	False	True	34	4	3	386620	3134767
Nàng Thơ	25	Hoàng Dũng	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2020-12-16	254476.0	49.0	False	True	19	16	2	206344	3134620
On My Way	On My Way	Alan Walker	[]	2019-03-21	193797.0	69.0	True	True	81	7	4	63761	3120685
deja vu	SOUR	Olivia Rodrigo	[]	2021-05-21	215506.0	80.0	True	True	61	0	40	109160	3118711
Tình Bạn Diệu Kỳ	Tình Bạn Diệu Kỳ	Ricky Star	['v-pop', 'vietnamese hip hop', 'vietnam indie']	2021-02-23	203666.0	27.0	False	True	26	5	2	314820	3102774
two years	rosie	ROSÉ	['k-pop']	2024-12-06	167748.0	71.0	False	True	11	0	26	649340	3093822
Can We Kiss Forever?	Can We Kiss Forever?	Kina	[]	2018-08-31	187931.0	67.0	False	True	61	0	14	67802	3088662
Là Do Em Xui Thôi	Là Do Em Xui Thôi	Khói	['vietnamese hip hop', 'v-pop', 'vietnamese lo-fi', 'vietnam indie']	2020	290366.0	35.0	False	True	40	0	85	103284	3084944
LÀN ƯU TIÊN	LÀN ƯU TIÊN	MOPIUS	['v-pop']	2024-12-03	203428.0	56.0	False	True	11	0	51	364302	3058060
girls like me don't cry	girls like me don't cry	thủy	[]	2022-10-06	213640.0	62.0	False	True	25	0	25	160647	3056486
Chúng Ta Sau Này	Chúng Ta Sau Này	T.R.I	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']	2021-01-29	211200.0	51.0	False	True	61	0	73	67895	3055293
Baby Gọi Cho Anh (feat. CAPTAIN & UMIE)	Rap Việt Mùa 3 - Vòng 2	RAP VIỆT	['vietnamese hip hop', 'v-pop']	2023-08-09	178252.0	44.0	False	True	14	1	8	380466	3051108
không một bài hát nào có thể diễn tả cảm xúc của em lúc này. (feat. Thanh Bui)	LINK	Hoàng Thùy Linh	['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']	2022-08-11	240500.0	36.0	False	True	28	1	7	245154	3035667
Ice Cream (with Selena Gomez)	THE ALBUM	BLACKPINK	['k-pop']	2020-10-02	175813.0	59.0	False	True	42	8	2	304673	3019568
Lý Do Nào Để Quay Lại Với Nhau	Lý Do Nào Để Quay Lại Với Nhau	PAR SG	['vietnamese hip hop', 'vietnamese lo-fi', 'v-pop', 'vietnam indie']	2022-05-20	116142.0	53.0	False	True	28	0	104	133816	3017900
thật quá đáng.. để yêu	thật quá đáng.. để yêu	NICKY	['v-pop', 'vietnam indie', 'vietnamese hip hop']	2024-10-09	186000.0	51.0	False	True	13	0	71	308995	3012506
For Us	Layover	V	['k-pop']	2023-09-08	171160.0	64.0	False	True	11	2	5	801237	2998241
lovely (with Khalid)	lovely (with Khalid)	Billie Eilish	[]	2018-04-19	200185.0	83.0	False	True	147	0	37	33953	2995295
Shay nắnggg	Shay nắnggg	AMEE	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2022-06-06	208301.0	48.0	False	True	37	0	13	206182	2993408
WALK (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)	"ANH TRAI ""SAY HI"", Tập 10"	"ANH TRAI ""SAY HI"""	['v-pop', 'vietnamese hip hop']	2024-08-18	232258.0	47.0	False	True	14	0	41	321176	2986058
Không Phải Gu	Ai Cũng Phải Bắt Đầu Từ Đâu Đó	HIEUTHUHAI	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2023-10-16	201407.0	52.0	True	True	20	0	51	222562	2970902
MONTERO (Call Me By Your Name)	MONTERO	Lil Nas X	[]	2021-09-17	137704.0	71.0	True	True	44	0	21	142797	2957649
SHEESH	BABYMONS7ER	BABYMONSTER	['k-pop']	2024-04-01	170356.0	74.0	False	True	15	0	45	296478	2941134
Snowman	Everyday Is Christmas (Deluxe Edition)	Sia	[]	2018-11-01	165900.0	77.0	False	True	34	0	22	205560	2939338
Một Năm Mới Bình An	m-tp M-TP	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2017-04-01	247196.0	55.0	False	True	16	0	19	581312	2929790
Và Ngày Nào Đó	Và Ngày Nào Đó	Trung Quân	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2022-09-13	262311.0	40.0	False	True	32	0	68	105857	2927358
Don't Start Now	Future Nostalgia	Dua Lipa	['pop']	2020-03-27	183290.0	77.0	False	True	63	5	3	108874	2911792
3am	rosie	ROSÉ	['k-pop']	2024-12-06	154050.0	72.0	False	True	11	0	34	576294	2907661
VỀ QUÊ (feat. Mikelodic & Đặng Thái Bình)	Rap Việt Mùa 3 (2023) - Tập 3	RAP VIỆT	['vietnamese hip hop', 'v-pop']	2023-06-11	177230.0	34.0	False	True	16	0	25	246754	2895584
Đường Một Chiều	Đường Một Chiều	Huỳnh Tú	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2022-08-17	287021.0	47.0	False	True	67	0	114	145160	2886100
Một Ngày Chẳng Nắng	Một Ngày Chẳng Nắng	Pháo	['v-pop', 'vinahouse', 'vietnamese hip hop']	2023-04-28	192997.0	40.0	False	True	20	0	46	201152	2875331
"Hẹn Một Mai - From"" 4 Năm 2 Chàng 1 Tình Yêu"""	"Hẹn Một Mai (From"" 4 Năm 2 Chàng 1 Tình Yêu"")"	Bùi Anh Tuấn	['v-pop', 'vietnamese lo-fi']	2024-03-04	259915.0	50.0	False	True	20	0	109	174790	2856101
gameboy	rosie	ROSÉ	['k-pop']	2024-12-06	166742.0	72.0	False	True	11	0	35	574024	2850864
Bắt Cóc Con Tim	Bắt Cóc Con Tim	Lou Hoàng	['v-pop', 'vinahouse', 'vietnamese lo-fi']	2022-06-30	197549.0	40.0	False	True	24	4	9	224464	2850383
Càng Cua	Càng Cua	Low G	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2022-02-03	139813.0	45.0	False	True	26	0	66	139759	2849939
stay a little longer	rosie	ROSÉ	['k-pop']	2024-12-06	246606.0	73.0	False	True	11	0	36	557369	2841058
Từng Ngày Yêu Em	Từng Ngày Như Mãi Mãi	buitruonglinh	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2024-12-12	225882.0	61.0	False	True	7	0	19	606924	2837932
good 4 u	SOUR	Olivia Rodrigo	[]	2021-05-21	178146.0	78.0	True	True	49	0	19	137805	2836303
I'll Be There	I'll Be There	Jin	['k-pop']	2024-10-25	181677.0	73.0	False	True	3	2	5	1433598	2821049
Unholy (feat. Kim Petras)	Unholy (feat. Kim Petras)	Sam Smith	['soft pop']	2022-09-22	156943.0	74.0	False	True	27	0	38	151343	2817327
NGÂN	FLVR	tlinh	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2024-09-18	158905.0	52.0	False	True	11	0	42	390732	2815143
Hoa Hải Đường	Hoa Hải Đường	Jack - J97	['v-pop', 'vietnamese lo-fi', 'vinahouse']	2020-09-22	229589.0	44.0	False	True	51	1	7	126072	2812940
Em Bé	Em Bé	AMEE	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2020-09-22	192000.0	48.0	False	True	57	0	48	133343	2811427
Her Summer	Her Summer	Vũ.	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2019-07-18	224589.0	39.0	False	True	85	4	3	112428	2787333
Em Hát Ai Nghe	Em Hát Ai Nghe	Orange	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2021-08-18	279152.0	48.0	False	True	48	0	32	87729	2786838
dance all night	rosie	ROSÉ	['k-pop']	2024-12-06	214950.0	70.0	False	True	11	0	46	452271	2785474
Creepin' (with The Weeknd & 21 Savage)	HEROES & VILLAINS	Metro Boomin	[]	2022-12-02	221520.0	78.0	True	True	27	0	53	127075	2783263
Cheri Cheri Lady	Cheri Cheri Lady	Maléna	[]	2022-10-31	143227.0	37.0	False	True	21	0	32	227046	2781649
For Youth	Proof	BTS	['k-pop']	2022-06-10	264480.0	60.0	False	True	14	4	3	1077497	2769912
Lời Đường Mật		Artist Page Redirect Cleanup 2023							44	0	29	99226	2763678
Đúng Cũng Thành Sai	Đúng Cũng Thành Sai	Mỹ Tâm	['v-pop', 'vietnamese bolero', 'vietnam indie']	2020-10-01	287359.0	43.0	False	True	59	0	15	110063	2763657
Sunflower - Spider-Man: Into the Spider-Verse	Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)	Post Malone	[]	2018-12-14	158040.0	77.0	False	True	94	8	4	113046	2755108
TUYẾT TRÊN PHỐ (feat. Gill)	RAP VIỆT 2024, Tập 2	RAP VIỆT	['vietnamese hip hop', 'v-pop']	2024-09-30	222800.0	50.0	False	True	13	0	69	278339	2734661
Gene	Gene	Binz	['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']	2019-05-12	228000.0	39.0	False	True	82	0	43	56602	2733258
Paint The Town Red	Paint The Town Red	Doja Cat	[]	2023-08-04	231750.0	75.0	True	True	16	0	24	299187	2728062
Daechwita	D-2	Agust D	['k-pop', 'k-rap']	2020-05-22	225668.0	71.0	True	True	22	3	1	554436	2716931
Vừa Hận Vừa Yêu	Vừa Hận Vừa Yêu	Trung Tu	['v-pop', 'vietnamese lo-fi', 'vinahouse']	2024-06-25	157239.0	43.0	False	True	11	0	24	382008	2715475
Băng Qua Cầu Giấy	THE WXRDIES	Wxrdie	['vietnamese hip hop', 'v-pop']	2024-11-12	206162.0	52.0	True	True	12	0	41	378885	2693304
Unstoppable	This Is Acting	Sia	[]	2016-01-29	217746.0	76.0	False	True	53	0	68	74936	2687844
So Close	So Close	Binz	['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']	2019-08-24	199578.0	37.0	False	True	86	0	55	44441	2685847
Cupid (Twin Ver.) - Live Studio Version OT4	The Beginning	FIFTY FIFTY	['k-pop']	2023-09-22	174116.0	72.0	False	True	15	0	26	270598	2672661
All I Want for Christmas Is You	Merry Christmas	Mariah Carey	['christmas']	1994-10-28	241106.0	77.0	False	True	35	1	10	197932	2669032
Trương Đình Hoàng	VANLOVE	Lil Van	['vietnamese hip hop', 'v-pop']	2024-04-17	219036.0	54.0	False	True	10	0	39	416460	2668044
Light Switch	CHARLIE	Charlie Puth	['soft pop', 'pop']	2022-10-06	187703.0	67.0	False	True	33	0	14	175740	2667964
Pretty Savage	THE ALBUM	BLACKPINK	['k-pop']	2020-10-02	199122.0	62.0	False	True	45	3	2	411896	2641628
Dancing With Your Ghost	Dancing With Your Ghost	Sasha Alex Sloan	[]	2019-06-28	197732.0	73.0	False	True	84	0	81	38654	2635550
Happy For You (feat. Vũ.)	Happy For You (feat. Vũ.)	Lukas Graham	[]	2021-07-02	226402.0	34.0	False	True	33	4	1	327185	2628013
Tái Sinh	MULTIVERSE	Tùng Dương	['v-pop', 'vietnam indie']	2024-11-16	240000.0	56.0	False	True	11	0	76	291826	2624414
Người Hãy Quên Em Đi	Tâm 9	Mỹ Tâm	['v-pop', 'vietnamese bolero', 'vietnam indie']	2017-12-06	232481.0	43.0	False	True	101	19	1	97339	2624072
Woman	Planet Her	Doja Cat	[]	2021-06-25	172626.0	79.0	True	True	50	0	43	81607	2619222
Tally	BORN PINK	BLACKPINK	['k-pop']	2022-09-16	184248.0	61.0	True	True	18	1	8	551125	2612754
Đau Nhất Là Lặng Im	Đau Nhất Là Lặng Im	ERIK	['v-pop', 'vietnamese lo-fi', 'vinahouse', 'vietnam indie']	2022-02-17	286153.0	49.0	False	True	17	3	3	295145	2602486
Mời Em	THE WXRDIES	Wxrdie	['vietnamese hip hop', 'v-pop']	2024-11-12	203687.0	57.0	True	True	11	0	69	283176	2601511
Astronaut In The Ocean	Astronaut In The Ocean	Masked Wolf	[]	2021-01-06	132780.0	67.0	True	True	31	0	18	146740	2600729
đứa nào làm em buồn?	đứa nào làm em buồn?	Phuc Du	['vietnamese hip hop', 'v-pop', 'vietnamese lo-fi', 'vinahouse', 'vietnam indie']	2022-08-08	252539.0	39.0	False	True	22	1	3	293810	2600591
Heather	Kid Krow	Conan Gray	[]	2020-03-20	198040.0	81.0	False	True	65	0	62	180923	2597934
too bad for us	rosie	ROSÉ	['k-pop']	2024-12-06	236248.0	69.0	False	True	11	0	39	477061	2575078
Đi Để Trở Về	Đi Để Trở Về	SOOBIN	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2017-01-17	202084.0	55.0	False	True	19	0	45	352882	2574824
Think About U	Think About U	Kay Chau Anh	['v-pop']	2024-11-11	172015.0	54.0	False	True	13	0	102	251298	2562484
Past Lives	Past Lives	Jasper	['lo-fi']	2020-09-26	99310.0	33.0	False	True	50	0	73	72628	2558626
Pano	Pano	Zack Tabudlo	['opm', 'harana', 'p-pop', 'kundiman', 'pinoy r&b', 'pinoy indie']	2021-12-06	254400.0	64.0	False	True	21	0	16	179599	2556477
"Nhắm Mắt Thấy Mùa Hè - From ""Nhắm Mắt Thấy Mùa Hè"""	"Nhắm Mắt Thấy Mùa Hè (From ""Nhắm Mắt Thấy Mùa Hè"")"	Nguyên Hà	['v-pop', 'vietnam indie']	2018	282857.0	47.0	False	True	84	0	71	43265	2552841
Sau Lưng Anh Có Ai Kìa	Sau Lưng Anh Có Ai Kìa	Thiều Bảo Trâm	['v-pop', 'vietnamese lo-fi']	2022-04-11	302640.0	41.0	False	True	26	2	5	216673	2545636
yêu thì yêu không yêu thì yêu	dreaAMEE	AMEE	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2020-06-20	190285.0	36.0	False	True	42	2	7	124393	2544289
Hôm Nay Tôi Buồn - Remastered 2023	Hôm Nay Tôi Buồn (The 5th Anniversary)	Phùng Khánh Linh	['v-pop', 'vietnam indie', 'city pop']	2023-02-01	275820.0	41.0	False	True	138	0	13	31844	2504703
Stuck with U (with Justin Bieber)	Stuck with U	Ariana Grande	['pop']	2020-05-08	228482.0	76.0	False	True	62	6	3	144945	2502500
Ai Đưa Em Về	Ai Đưa Em Về	TIA	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse', 'vietnamese hip hop']	2019-06-20	233249.0	45.0	False	True	81	0	69	61188	2500994
Đi Qua Mùa Hạ	Đi Qua Mùa Hạ	Thái Đinh	['vietnam indie', 'v-pop']	2019-07-14	283262.0	41.0	False	True	89	0	95	45685	2500271
Chưa Được Yêu Như Thế	Chỉ Có Thể Là Anh	TRANG	['vietnam indie', 'v-pop']	2022-06-18	254000.0	49.0	False	True	15	0	61	239626	2496835
Là Từ Lúc (Since)	Là Từ Lúc (Since)	Nguyễn Minh Xuân Ái	['v-pop', 'vietnam indie']	2021-03-02	266657.0	47.0	False	True	17	0	97	188570	2495987
Vệ Tinh (Live at GENfest 24)	HIEUTHUHAI (Live at GENfest 24)	HIEUTHUHAI	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2025-02-24	170709.0	0.0	False	True	31	0	90	104519	2483767
Quyền Anh	LOI CHOI: The Neo Pop Punk	Wren Evans	['v-pop', 'vietnam indie', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse']	2023-12-17	179008.0	40.0	False	True	10	0	35	410135	2481942
on the street (solo version)	HOPE ON THE STREET VOL.1	j-hope	['k-pop', 'k-rap']	2024-03-29	191602.0	63.0	False	True	11	1	2	662260	2474656
Shivers	=	Ed Sheeran	['soft pop']	2021-10-25	207853.0	79.0	False	True	37	1	10	134954	2461051
Sau Này, Hãy Gặp Lại Nhau Khi Hoa Nở	Hôm Qua Hôm Nay Và Sau Này	Nguyên Hà	['v-pop', 'vietnam indie']	2020-10-06	276480.0	37.0	False	True	59	1	9	87875	2460023
Người Ta Có Thương Mình Đâu	Người Ta Có Thương Mình Đâu	Trúc Nhân	['v-pop', 'vietnam indie']	2018-07-17	228121.0	39.0	False	True	109	7	2	45521	2453327
BLACKJACK	The Playah	SOOBIN	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2020-12-15	196742.0	39.0	False	True	30	4	6	195835	2439008
"Ngày Chưa Giông Bão (Theme Song From ""Người Bất Tử"")"	"Ngày Chưa Giông Bão (Theme Song From ""Người Bất Tử"")"	Bùi Lan Hương	['v-pop', 'vietnam indie']	2018-10-18	212000.0	42.0	False	True	100	0	12	55072	2434055
Moonlit Floor (Kiss Me)	Moonlit Floor (Kiss Me)	LISA	['k-pop']	2024-10-03	155757.0	79.0	False	True	8	0	34	437426	2430938
Tình Nào Không Như Tình Đầu	Tình Nào Không Như Tình Đầu	Trung Quân	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2020-03-09	281960.0	37.0	False	True	43	1	10	113600	2425034
Từng Là Của Nhau	Từng Là Của Nhau	Bảo Anh	['v-pop', 'vietnamese lo-fi', 'vinahouse', 'vietnamese bolero', 'vietnam indie']	2022-08-30	269473.0	42.0	False	True	25	0	12	204511	2420762
id 2022 (feat. 267)	id 2022 (feat. 267)	W/N	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie']	2023-12-31	242401.0	47.0	False	True	14	0	61	269936	2418939
The Planet	The Planet	BTS	['k-pop']	2023-05-12	178156.0	58.0	False	True	7	1	2	1016271	2413585
Thấy Chưa	Gieo	Ngọt	['vietnam indie', 'v-pop', 'vietnamese hip hop']	2022-11-25	232204.0	48.0	False	True	29	0	43	137242	2411587
That That (prod.&feat. SUGA of BTS)	PSY 9th	PSY	['k-pop']	2022-04-29	174646.0	66.0	False	True	10	4	2	1008814	2411142
Một Mình Có Buồn Không (feat. Lou Hoàng)	Một Mình Có Buồn Không	Thiều Bảo Trâm	['v-pop', 'vietnamese lo-fi']	2020-10-21	266285.0	35.0	False	True	28	2	7	167393	2403732
Girl Of My Dreams (with SUGA of BTS)	Fighting Demons (Deluxe)	Juice WRLD	['melodic rap', 'emo rap']	2022-03-18	226149.0	61.0	True	True	21	3	1	498962	2402077
Tình Yêu Vĩ Mô	LOI CHOI: The Neo Pop Punk	Wren Evans	['v-pop', 'vietnam indie', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse']	2023-12-17	183529.0	39.0	False	True	10	0	36	405829	2396239
Santa Tell Me	Santa Tell Me	Ariana Grande	['pop']	2014-11-24	204093.0	74.0	False	True	31	0	14	168632	2396133
Chập Chờn	Dữ Liệu Quý	Dương Domic	['v-pop', 'vietnamese hip hop']	2024-11-22	192558.0	54.0	False	True	12	0	93	253551	2393466
Yêu Em 2 Ngày	Yêu Em 2 Ngày	Dương Domic	['v-pop', 'vietnamese hip hop']	2024-03-08	224117.0	54.0	False	True	14	0	123	215716	2391927
Mad at Disney	(MORE) Unsponsored Content	salem ilese	[]	2022-10-07	136838.0	62.0	False	True	49	0	30	70248	2382911
BAO LỜI CON CHƯA NÓI (feat. Dương Domic, Anh Tú Atus, Song Luân, Quang Trung & Anh Tú)	"ANH TRAI ""SAY HI"" (Live Stage 4)"	"ANH TRAI ""SAY HI"""	['v-pop', 'vietnamese hip hop']	2024-08-26	333000.0	49.0	False	True	13	0	59	274641	2381098
Hẹn Ước Từ Hư Vô - Live	Hẹn Ước Từ Hư Vô (Live)	Mỹ Tâm	['v-pop', 'vietnamese bolero', 'vietnam indie']	2022-03-02	247553.0	43.0	False	True	29	0	13	173349	2380351
Bùa Yêu	Dramatic	Bích Phương	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse', 'vietnam indie']	2018-11-21	241649.0	39.0	False	True	111	19	1	90792	2358694
White Christmas (with V of BTS)	White Christmas (with V of BTS)	V	['k-pop']	2024-12-06	173033.0	72.0	False	True	3	1	5	1716780	2352002
Em Đã Biết (feat. Rtee)	Em Đã Biết	SUNI	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2016-03-17	261321.0	43.0	False	True	34	0	100	116688	2350654
I Like Me Better	I met you when I was 18. (the playlist)	Lauv	[]	2018-05-31	197436.0	80.0	False	True	122	0	40	30703	2347342
Agora Hills	Scarlet	Doja Cat	[]	2023-09-22	265360.0	73.0	True	True	17	0	82	180664	2342914
Heartbreak Anniversary	TAKE TIME	GIVĒON	['r&b']	2020-03-27	198370.0	76.0	False	True	46	0	39	102795	2340851
Anh Muốn Nhìn Thấy Em	Anh Muốn Nhìn Thấy Em	The Wind	['v-pop', 'vietnamese hip hop']	2023-07-27	212000.0	56.0	False	True	10	0	78	276313	2336525
một bài hát không vui mấy - Extended Version	một bài hát không vui mấy (Extended Version)	T.R.I	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']	2024-12-24	235315.0	59.0	False	True	7	0	36	423481	2317484
Tell the kids i love them	Đánh Đổi	Obito	['v-pop', 'vietnamese hip hop', 'vietnam indie']	2023-10-10	224175.0	55.0	True	True	14	0	125	207708	2310131
Em Mới Là Người Yêu Anh	Em Mới Là Người Yêu Anh	MIN	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2021-06-08	228979.0	45.0	False	True	95	14	1	69970	2309328
Đom Đóm	Đom Đóm	Jack - J97	['v-pop', 'vietnamese lo-fi', 'vinahouse']	2020-12-26	324949.0	40.0	False	True	35	2	7	182021	2308163
Dangerously	Nine Track Mind	Charlie Puth	['soft pop', 'pop']	2016-01-29	199133.0	60.0	False	True	22	0	87	143445	2305605
Để Anh Một Mình (feat. Quang Anh Rhyder)	Rap Việt Mùa 3 - Vòng 1	RAP VIỆT	['vietnamese hip hop', 'v-pop']	2023-07-21	192000.0	44.0	False	True	17	0	50	183099	2299459
I Don't Care (with Justin Bieber)	No.6 Collaborations Project	Ed Sheeran	['soft pop']	2019-07-12	219946.0	70.0	False	True	60	7	2	92425	2292482
Daylight	Daylight	David Kushner	[]	2023-04-14	212953.0	78.0	False	True	22	0	111	124110	2287170
So Am I	Heaven & Hell	Ava Max	[]	2020-09-18	183026.0	66.0	False	True	85	0	21	32550	2285770
After LIKE	After LIKE	IVE	['k-pop']	2022-08-22	176973.0	68.0	False	True	25	0	15	197020	2283528
Cô Đơn Trên Sofa	Cô Đơn Trên Sofa	Hồ Ngọc Hà	['v-pop', 'vinahouse']	2022-10-19	263362.0	42.0	False	True	22	0	58	132735	2277357
Querry	Querry	QNT	['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']	2022-01-06	230663.0	44.0	False	True	30	0	34	119703	2258024
Perfect Night	Perfect Night	LE SSERAFIM	['k-pop']	2023-10-27	159080.0	74.0	False	True	17	0	101	153910	2257225
Come back to me	Right Place, Wrong Person	RM	['k-pop', 'k-rap']	2024-05-24	388960.0	62.0	False	True	4	2	1	1288680	2251079
Cô Ta	Một Vạn Năm	Vũ.	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2022-09-09	214500.0	41.0	False	True	19	1	10	235390	2244727
I'm a Mess	Expectations	Bebe Rexha	[]	2018-06-22	195519.0	65.0	False	True	112	0	20	29237	2241688
Tình Yêu Xanh Lá (Juju)	gop	Thịnh Suy	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2020-11-16	179000.0	42.0	False	True	32	0	17	121506	2234767
Lời Nói Dối Sau Nụ Cười - Piano version	Lời Nói Dối Sau Nụ Cười (Piano Version)	Hồ Tuấn Phúc	['v-pop']	2022-05-15	264193.0	6.0	False	True	19	2	2	336755	2228885
not the same	rosie	ROSÉ	['k-pop']	2024-12-06	184006.0	68.0	False	True	10	0	40	470660	2224753
Blue & Grey	BE	BTS	['k-pop']	2020-11-20	254950.0	59.0	False	True	46	1	5	241514	2218204
I.F.L.Y.	Soul Searching	Bazzi	[]	2019-08-09	165714.0	64.0	True	True	70	0	19	47765	2215344
call it the end	rosie	ROSÉ	['k-pop']	2024-12-06	141141.0	68.0	False	True	10	0	47	445639	2213528
Vì Điều Gì	Từng Ngày Như Mãi Mãi	buitruonglinh	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2024-12-12	153383.0	56.0	False	True	9	0	75	286428	2206432
Nhạc Trap Căng Nhất 2023	420ent.	Wxrdie	['vietnamese hip hop', 'v-pop']	2023-04-20	213523.0	42.0	True	True	17	0	116	150185	2204589
Don't Know What To Do	Kill This Love	BLACKPINK	['k-pop']	2019-04-05	201081.0	57.0	False	True	79	2	2	105529	2188068
wherever u r (ft. V of BTS)	wherever u r (ft. V of BTS)	UMI	[]	2023-12-30	153034.0	62.0	False	True	5	1	6	1076639	2180338
nữ siêu anh hùng	ái	tlinh	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2023-08-16	211436.0	48.0	False	True	15	0	40	237576	2175684
Dancing With A Stranger (with Normani)	Love Goes	Sam Smith	['soft pop']	2020-10-30	171029.0	73.0	False	True	85	8	5	38939	2173818
Born Singer	Proof	BTS	['k-pop']	2022-06-10	238628.0	57.0	False	True	11	2	4	879045	2166867
ME! (feat. Brendon Urie of Panic! At The Disco)	Lover	Taylor Swift	[]	2019-08-23	193000.0	70.0	False	True	63	5	4	70144	2163286
SPOT!	SPOT!	ZICO	['k-rap', 'k-pop']	2024-04-26	167706.0	73.0	False	True	8	0	11	446843	2151826
DNA	Love Yourself 承 'Her'	BTS	['k-pop']	2017-09-18	223122.0	65.0	False	True	104	1	8	223231	2149189
Don't Break My Heart	Don't Break My Heart	Binz	['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']	2022-03-14	237600.0	40.0	False	True	18	2	6	281103	2149106
Levitating (feat. DaBaby)	Future Nostalgia	Dua Lipa	['pop']	2020-03-27	203064.0	76.0	False	True	45	0	54	83316	2144709
Bất Bình Thường	Bất Bình Thường	WHEE!	['vietnam indie', 'v-pop', 'vietnamese lo-fi']	2023-07-28	208518.0	36.0	False	True	28	0	81	96029	2132666
Sợ Rằng Em Biết Anh Còn Yêu Em	Sợ Rằng Em Biết Anh Còn Yêu Em	JUUN D	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']	2020-02-07	322504.0	41.0	False	True	69	0	101	40761	2130608
LOVE DIVE	LOVE DIVE	IVE	['k-pop']	2022-04-05	177186.0	68.0	False	True	32	0	17	138062	2130223
Nơi Mình Dừng Chân (Nhạc Phim Chị Trợ Lý Của Anh)	Nơi Mình Dừng Chân (Nhạc Phim Chị Trợ Lý Của Anh)	Mỹ Tâm	['v-pop', 'vietnamese bolero', 'vietnam indie']	2019-01-25	242093.0	43.0	False	True	66	0	62	38105	2115990
Wild Flower (with youjeen)	Indigo	RM	['k-pop', 'k-rap']	2022-12-02	273499.0	71.0	False	True	16	1	4	328725	2111194
Tình Yêu Ngủ Quên	Tình Yêu Ngủ Quên	Hoàng Tôn	['v-pop', 'vietnamese hip hop', 'vinahouse']	2021-06-12	177600.0	43.0	False	True	39	0	57	76921	2099991
I'm Still Loving You	I'm Still Loving You	Noo Phước Thịnh	['v-pop', 'vinahouse', 'vietnamese lo-fi']	2019-11-13	200000.0	30.0	False	True	57	2	6	94591	2093232
