track_name	album_name	artist_name	genres	release_date	duration_ms	popularity	explicit	is_playable	wks	t10	pk_rank	pk_streams	total_streams
Lạ Lùng	Lạ Lùng	Vũ.	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2016-12-24	261616.0	55.0	False	True	358	0	17	259409	32427937
id 072019	id 072019	W/N	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie']	2023-07-31	271704.0	59.0	False	True	82	10	3	708196	32268074
Left and Right (Feat. Jung Kook of BTS)	CHARLIE	Charlie Puth	['soft pop', 'pop']	2022-10-06	154486.0	69.0	False	True	76	28	1	2322728	32076927
Thích Quá Rùi Nà	Thích Quá Rùi Nà	tlinh	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2023-07-14	178000.0	57.0	False	True	230	0	34	361430	31995363
Thanh Xuân	Thanh Xuân	Da LAB	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2018-08-24	220509.0	54.0	False	True	335	22	1	204075	31848662
3107 3	3107 3 (feat. Nâu, titie, Dươngg)	W/N	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie']	2021-07-31	240000.0	56.0	False	True	185	8	1	312899	31723473
Butter	Proof	BTS	['k-pop']	2022-06-10	164952.0	70.0	False	True	95	72	1	1846851	31651140
Những Lời Hứa Bỏ Quên	Những Lời Hứa Bỏ Quên	Vũ.	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2023-12-14	236262.0	54.0	False	True	62	16	1	1678086	31537668
Bước Qua Mùa Cô Đơn	Một Vạn Năm	Vũ.	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2022-09-09	278823.0	52.0	False	True	216	20	1	339091	31394417
Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau	Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau	Olew	['v-pop', 'vietnamese lo-fi', 'vietnam indie']	2023-01-02	278732.0	51.0	False	True	109	2	8	359170	31192659
Dynamite	BE	BTS	['k-pop']	2020-11-20	199053.0	76.0	False	True	143	52	1	2491980	30421377
ngủ một mình (tình rất tình)	ngủ một mình (tình rất tình)	HIEUTHUHAI	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2022-12-15	192000.0	58.0	False	True	114	8	2	405040	29886930
Nghe Như Tình Yêu	Nghe Như Tình Yêu	HIEUTHUHAI	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2021-07-09	193049.0	60.0	False	True	178	0	35	423511	29385899
double take	rapunzel	Dhruv	[]	2022-01-21	171743.0	74.0	False	True	190	13	8	257561	28570622
Miên Man	Miên Man	Minh Huy	['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop', 'vietnam indie']	2022-06-24	197998.0	52.0	False	True	76	0	11	474231	28494934
đưa em về nhàa	đưa em về nhàa	GREY D	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2023-04-24	240000.0	57.0	False	True	96	11	3	779286	28301973
shhhhhhh..	shhhhhhh..	WEAN	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2023-10-07	230675.0	60.0	False	True	72	1	9	580811	28158056
Âm Thầm Bên Em	m-tp M-TP	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2017-04-01	293112.0	59.0	False	True	225	0	34	395787	27479467
3 1 0 7 (feat. Duongg & Nâu)	3 1 0 7 (feat. Duongg & Nâu)	W/N	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie']	2024-06-26	234938.0	55.0	False	True	189	0	11	217226	27400862
Thích Em Hơi Nhiều	Thích Em Hơi Nhiều	Wren Evans	['v-pop', 'vietnam indie', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse']	2021-06-18	171741.0	52.0	False	True	170	9	1	405591	27366853
có hẹn với thanh xuân	Over The Moon	MONSTAR	['v-pop', 'vietnam indie']	2021-08-01	218026.0	49.0	False	True	161	8	5	301255	27245076
dự báo thời tiết hôm nay mưa	dự báo thời tiết hôm nay mưa - Maxi Single	GREY D	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2022-11-22	281493.0	57.0	False	True	118	3	7	314352	27138609
Simp Gái 808	Simp Gái 808	Low G	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-10-18	161948.0	58.0	True	True	71	4	9	680502	26901384
Chuyện Rằng	Chuyện Rằng	Thịnh Suy	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2020-08-08	272152.0	51.0	False	True	215	23	5	186985	26547962
Chỉ Một Đêm Nữa Thôi	99%	RPT MCK	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-03-02	141760.0	54.0	True	True	99	1	9	434649	26323790
Bài Này Chill Phết	Bài Này Chill Phết	Đen	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2019	276000.0	54.0	False	True	285	36	1	181120	26216480
Thằng Điên	Thằng Điên	JustaTee	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2022-07-11	234000.0	56.0	False	True	123	0	25	280292	26040292
Bạn Đời	Bạn Đời	Karik	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2023-10-04	300718.0	55.0	False	True	73	11	5	875706	25825689
Tình Đắng Như Ly Cà Phê	Tình Đắng Như Ly Cà Phê	Ngơ	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2021-03-31	215172.0	50.0	False	True	223	0	15	197844	25715067
Wrong Times	Wrong Times	Puppy	['v-pop', 'vietnamese hip hop']	2023-05-17	211200.0	66.0	False	True	68	12	3	1002819	25314117
tiny love	Tiny Things	Thịnh Suy	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2021-12-05	158400.0	52.0	False	True	151	8	3	297018	25230726
Dù Cho Mai Về Sau	Dù Cho Mai Về Sau	buitruonglinh	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2020-11-17	233975.0	56.0	False	True	203	1	10	220555	25142258
Chúng Ta Của Tương Lai	Chúng Ta Của Tương Lai	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2024-03-08	249871.0	59.0	False	True	50	16	1	2555804	24664766
Anh Là Ngoại Lệ Của Em	Anh Là Ngoại Lệ Của Em	Phương Ly	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse', 'vietnamese lo-fi']	2023-10-05	188108.0	55.0	False	True	72	8	7	777726	24531515
Từng Là	Từng Là	Vũ Cát Tường	['v-pop', 'vietnam indie']	2024-03-01	252500.0	60.0	False	True	51	15	2	1159599	24383957
2AM	2AM	JustaTee	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2022-05-10	258281.0	57.0	False	True	145	0	18	328631	24126034
Em Không Hiểu	Em Không Hiểu	Changg	['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop', 'vietnam indie']	2021-06-28	237419.0	55.0	False	True	189	0	27	238224	23698450
NOLOVENOLIFE	Ai Cũng Phải Bắt Đầu Từ Đâu Đó	HIEUTHUHAI	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2023-10-16	170898.0	61.0	False	True	71	0	24	542111	23467182
bình yên	Bảo Tàng Của Nuối Tiếc	Vũ.	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2024-09-27	195974.0	60.0	False	True	25	18	4	1394677	23236028
nhắn nhủ	nhắn nhủ	Ronboogz	['v-pop', 'vietnamese hip hop', 'vietnam indie']	2023-12-12	241190.0	60.0	False	True	62	0	14	470432	22796511
One Of The Girls (with JENNIE, Lily Rose Depp)	The Idol Episode 4 (Music from the HBO Original Series)	The Weeknd	[]	2023-06-23	244684.0	88.0	False	True	87	0	11	357970	22624930
Lệ Lưu Ly	Lệ Lưu Ly	Vũ Phụng Tiên	['v-pop', 'vinahouse', 'vietnamese hip hop', 'vietnamese lo-fi']	2023-09-20	200842.0	55.0	False	True	74	10	6	674619	22593683
10 Ngàn Năm	10 Ngàn Năm	PC	['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']	2019-12-21	240000.0	56.0	False	True	140	0	27	341064	22438499
Chơi Như Tụi Mỹ	Chơi Như Tụi Mỹ	Andree Right Hand	['vietnamese hip hop', 'v-pop', 'vinahouse']	2022-12-30	160848.0	54.0	False	True	92	7	4	582880	22414138
Tại Vì Sao	99%	RPT MCK	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-03-02	202880.0	51.0	False	True	105	7	3	455060	22398648
Nàng Thơ	25	Hoàng Dũng	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2020-12-16	254476.0	49.0	False	True	171	21	2	287727	22103822
Lan Man	Lan Man	Ronboogz	['v-pop', 'vietnamese hip hop', 'vietnam indie']	2023-03-25	216220.0	58.0	False	True	97	0	33	370914	21659309
Cứ Chill Thôi	Cứ Chill Thôi	Chillies	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2020-07-11	270000.0	50.0	False	True	183	7	5	186191	21575194
tình yêu chậm trễ	Over The Moon	MONSTAR	['v-pop', 'vietnam indie']	2021-08-01	245333.0	54.0	False	True	114	0	46	259629	21380545
Mất Kết Nối	Dữ Liệu Quý	Dương Domic	['v-pop', 'vietnamese hip hop']	2024-11-22	207473.0	69.0	False	True	13	12	2	2123484	20946535
Chết Trong Em	Door To Nowhere	Thịnh Suy	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2022-11-17	256663.0	52.0	False	True	117	4	4	289666	20837241
Tình cờ yêu em	Tình cờ yêu em	Kuun Đức Nam	['v-pop', 'vietnam indie']	2023-06-10	258471.0	55.0	False	True	78	0	12	445790	20819285
Không Yêu Xin Đừng Nói (Piano Version)	Không Yêu Xin Đừng Nói (Piano Version)	UMIE	['v-pop', 'vietnamese hip hop', 'vinahouse']	2023-10-03	244218.0	48.0	False	True	100	0	37	246294	20799960
Gác Lại Âu Lo (feat. Miu Lê)	Gác Lại Âu Lo	Da LAB	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2020-07-25	282628.0	50.0	False	True	172	32	2	221112	20505375
Mơ	Mơ	Vũ Cát Tường	['v-pop', 'vietnam indie']	2016-01-01	262191.0	59.0	False	True	129	0	21	473030	20320726
Nơi Này Có Anh	m-tp M-TP	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2017-04-01	260117.0	57.0	False	True	291	0	12	345706	20209513
Anh Đánh Rơi Người Yêu Này	Anh Đánh Rơi Người Yêu Này	Andiez	['v-pop', 'vietnamese lo-fi', 'vietnam indie']	2019-07-15	217744.0	54.0	False	True	115	0	19	262317	20172080
Có Ai Thương Em Như Anh	Có Ai Thương Em Như Anh	Tóc Tiên	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese bolero']	2018-01-01	231497.0	52.0	False	True	125	0	20	269455	20134331
3 1 0 7 - 2 (feat. DuongG & Nau)	3 1 0 7 - 2 (feat. DuongG & Nau)	W/N	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie']	2021-02-04	268524.0	53.0	False	True	194	0	27	195632	19993724
Liệu Giờ (feat. Văn)	Liệu Giờ (feat. Văn)	2T	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie']	2023-01-07	258668.0	46.0	False	True	186	0	22	201513	19722724
Die With A Smile	Die With A Smile	Lady Gaga	['art pop', 'pop']	2024-08-16	251667.0	97.0	False	True	27	9	4	1106977	19707527
Bước Qua Nhau	Một Vạn Năm	Vũ.	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2022-09-09	257647.0	50.0	False	True	120	23	1	584785	19449346
Anh Chưa Thương Em Đến Vậy Đâu	Tập 12: The Masked Singer Vietnam	Myra Trần	['v-pop', 'vietnam indie']	2023-01-04	270643.0	51.0	False	True	95	5	6	356477	19092218
Khi Em Lớn	Khi Em Lớn	Orange	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2021-04-20	228094.0	54.0	False	True	172	9	4	237792	19012815
Slow Dancing	Layover	V	['k-pop']	2023-09-08	187026.0	73.0	False	True	29	14	2	1597799	18778293
Yêu Một Người Có Lẽ	Yêu Một Người Có Lẽ	Lou Hoàng	['v-pop', 'vinahouse', 'vietnamese lo-fi']	2016-03-07	253524.0	55.0	False	True	163	0	33	239904	18731489
APT.	rosie	ROSÉ	['k-pop']	2024-12-06	169917.0	88.0	False	True	18	16	2	2215577	18554223
Buồn Hay Vui (feat. RPT MCK, Obito, Ronboogz & Boyzed)	Buồn Hay Vui (feat. RPT MCK, Obito, Ronboogz & Boyzed)	VSOUL	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-12-25	291750.0	56.0	False	True	38	11	3	1292749	18527587
Thôi Em Đừng Đi	99%	RPT MCK	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-03-02	173397.0	51.0	False	True	79	1	8	394385	18516223
Rồi Em Sẽ Gặp Một Chàng Trai Khác	Tập 14: The Masked Singer Vietnam mùa 2	The Masked Singer	['v-pop']	2023-11-12	303968.0	55.0	False	True	62	0	11	529688	18482647
Bật Nhạc Lên	Bật Nhạc Lên	HIEUTHUHAI	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2020-06-12	200000.0	53.0	False	True	219	0	59	220297	18430466
HÀO QUANG (feat. RHYDER, Dương Domic & Pháp Kiều)	"ANH TRAI ""SAY HI"" (Live Stage 2)"	"ANH TRAI ""SAY HI"""	['v-pop', 'vietnamese hip hop']	2024-08-06	245454.0	61.0	False	True	32	4	6	739010	18412363
Boy With Luv (feat. Halsey)	MAP OF THE SOUL : PERSONA	BTS	['k-pop']	2019-04-12	229773.0	72.0	False	True	202	27	1	1068729	18187934
PHÓNG ZÌN ZÌN	FLVR	tlinh	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2024-09-18	202999.0	64.0	False	True	22	8	4	1229286	18040649
Chờ Đợi Có Đáng Sợ	Chờ Đợi Có Đáng Sợ	Andiez	['v-pop', 'vietnamese lo-fi', 'vietnam indie']	2020-07-20	282666.0	54.0	False	True	139	0	80	200333	17986441
Tò Te Tí	LOI CHOI: The Neo Pop Punk	Wren Evans	['v-pop', 'vietnam indie', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse']	2023-12-17	195000.0	53.0	False	True	50	9	3	1216757	17568429
Cho Tôi Lang Thang	Cho Tôi Lang Thang	Ngọt	['vietnam indie', 'v-pop', 'vietnamese hip hop']	2018-03-27	258784.0	54.0	False	True	220	0	35	215663	17496081
Có Chắc Yêu Là Đây	Có Chắc Yêu Là Đây	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2020-07-06	202105.0	54.0	False	True	170	15	1	406562	17435578
Hư không	tình	Kha	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop', 'vinahouse']	2023-12-14	354782.0	58.0	False	True	58	0	22	449692	17248382
ĐỢI (Prod. RIO)	ĐỢI (Prod. RIO)	52Hz	['v-pop', 'vietnam indie', 'vietnamese hip hop']	2023-12-15	197000.0	58.0	False	True	59	0	13	565059	17205857
Em Không Khóc (feat. Vũ Phụng Tiên)	Em Không Khóc (feat. Vũ Phụng Tiên)	buitruonglinh	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2022-03-28	269624.0	56.0	False	True	121	0	62	230886	17155198
FRI(END)S	FRI(END)S	V	['k-pop']	2024-03-15	148082.0	77.0	False	True	41	11	1	1729965	17024167
có hẹn với thanh xuân	Hương Mùa Hè	SUNI	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2022-07-24	222000.0	54.0	False	True	115	0	27	227149	16996258
Trái đất ôm Mặt trời	Trái đất ôm Mặt trời	Kai Đinh	['v-pop', 'vietnamese lo-fi', 'vietnam indie']	2023-12-18	194703.0	55.0	False	True	60	4	8	865973	16849603
